Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551073525,2019-02-25T05:45:25Z,TRA89A,"52.308968,4.773677",0,0,0
1551073594,2019-02-25T05:46:34Z,TRA89A,"52.308979,4.773658",0,0,290
1551073820,2019-02-25T05:50:20Z,TRA89A,"52.308979,4.773677",0,0,290
1551073890,2019-02-25T05:51:30Z,TRA89A,"52.308979,4.773677",0,0,30
1551074049,2019-02-25T05:54:09Z,TRA89A,"52.308968,4.773658",0,0,225
1551074184,2019-02-25T05:56:24Z,TRA89A,"52.308964,4.773674",0,0,180
1551074349,2019-02-25T05:59:09Z,TRA89A,"52.308968,4.773677",0,0,168
1551074422,2019-02-25T06:00:22Z,TRA89A,"52.308979,4.773677",0,0,30
1551074555,2019-02-25T06:02:35Z,TRA89A,"52.308964,4.773674",0,0,89
1551074719,2019-02-25T06:05:19Z,TRA89A,"52.308563,4.773618",0,11,185
1551074911,2019-02-25T06:08:31Z,TRA89A,"52.308437,4.773445",0,2,76
1551074922,2019-02-25T06:08:42Z,TRA89A,"52.308426,4.773769",0,14,93
1551074928,2019-02-25T06:08:48Z,TRA89A,"52.308411,4.773972",0,17,89
1551074938,2019-02-25T06:08:58Z,TRA89A,"52.308365,4.774482",0,19,92
1551074944,2019-02-25T06:09:04Z,TRA89A,"52.308357,4.774761",0,21,95
1551074950,2019-02-25T06:09:10Z,TRA89A,"52.308342,4.775208",0,22,92
1551074959,2019-02-25T06:09:19Z,TRA89A,"52.308426,4.775791",0,23,56
1551074968,2019-02-25T06:09:28Z,TRA89A,"52.308758,4.776071",0,23,2
1551074974,2019-02-25T06:09:34Z,TRA89A,"52.309029,4.77611",0,24,2
1551074980,2019-02-25T06:09:40Z,TRA89A,"52.309296,4.77613",0,26,2
1551074986,2019-02-25T06:09:46Z,TRA89A,"52.30962,4.776149",0,30,2
1551074992,2019-02-25T06:09:52Z,TRA89A,"52.310028,4.776188",0,33,2
1551075001,2019-02-25T06:10:01Z,TRA89A,"52.310612,4.776249",0,33,2
1551075008,2019-02-25T06:10:08Z,TRA89A,"52.310989,4.776268",0,34,2
1551075023,2019-02-25T06:10:23Z,TRA89A,"52.312008,4.776365",0,15,2
1551075034,2019-02-25T06:10:34Z,TRA89A,"52.312843,4.77644",0,17,2
1551075041,2019-02-25T06:10:41Z,TRA89A,"52.313404,4.776502",0,17,2
1551075047,2019-02-25T06:10:47Z,TRA89A,"52.313915,4.776542",0,17,2
