Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,TRA19G,323,"52.304291,4.768145",11,1536876421,2018-09-13Z
0,TRA19G,323,"52.304501,4.768028",11,1536876407,2018-09-13Z
0,TRA19G,145,"52.304779,4.767654",0,1536876246,2018-09-13Z
0,TRA19G,45,"52.304798,4.767666",0,1536875995,2018-09-13Z
0,TRA19G,144,"52.30479,4.767674",0,1536875650,2018-09-13Z
0,TRA19G,45,"52.304798,4.767666",0,1536875590,2018-09-13Z
0,TRA19G,53,"52.30479,4.767654",0,1536875189,2018-09-13Z
0,TRA19G,297,"52.30479,4.767654",0,1536875068,2018-09-13Z
0,TRA19G,207,"52.30479,4.767654",0,1536874988,2018-09-13Z
0,TRA19G,45,"52.304798,4.767666",0,1536874797,2018-09-13Z
0,TRA19G,297,"52.30479,4.767654",0,1536874748,2018-09-13Z
0,TRA19G,145,"52.304779,4.767654",0,1536874108,2018-09-13Z
0,TRA19G,234,"52.304787,4.767647",0,1536873938,2018-09-13Z
0,TRA19G,45,"52.304798,4.767666",0,1536873641,2018-09-13Z
0,TRA19G,53,"52.30479,4.767654",0,1536873516,2018-09-13Z
0,TRA19G,312,"52.304798,4.767647",0,1536873112,2018-09-13Z
0,TRA19G,323,"52.304729,4.767742",12,1536872998,2018-09-13Z
0,TRA19G,323,"52.304489,4.768028",11,1536872986,2018-09-13Z
0,TRA19G,289,"52.304676,4.769871",29,1536872921,2018-09-13Z
0,TRA19G,11,"52.304222,4.770421",29,1536872912,2018-09-13Z
0,TRA19G,56,"52.303814,4.769974",30,1536872902,2018-09-13Z
0,TRA19G,59,"52.303581,4.769381",16,1536872896,2018-09-13Z
0,TRA19G,59,"52.303345,4.768734",19,1536872890,2018-09-13Z
0,TRA19G,36,"52.302776,4.767556",18,1536872881,2018-09-13Z
0,TRA19G,28,"52.302334,4.767125",19,1536872873,2018-09-13Z
0,TRA19G,28,"52.301296,4.766235",24,1536872860,2018-09-13Z
0,TRA19G,30,"52.300499,4.76552",27,1536872853,2018-09-13Z
350,TRA19G,57,"52.27388,4.697518",148,1536872754,2018-09-13Z
500,TRA19G,58,"52.269924,4.687238",149,1536872743,2018-09-13Z
1025,TRA19G,57,"52.25526,4.649179",163,1536872705,2018-09-13Z
1150,TRA19G,57,"52.251629,4.63984",168,1536872695,2018-09-13Z
1575,TRA19G,57,"52.24054,4.611282",182,1536872670,2018-09-13Z
1775,TRA19G,57,"52.234543,4.59566",190,1536872656,2018-09-13Z
1925,TRA19G,57,"52.230728,4.585772",195,1536872648,2018-09-13Z
2125,TRA19G,56,"52.225433,4.572296",200,1536872637,2018-09-13Z
2275,TRA19G,54,"52.220345,4.560111",209,1536872627,2018-09-13Z
2500,TRA19G,60,"52.214664,4.546771",209,1536872617,2018-09-13Z
2875,TRA19G,91,"52.208569,4.513968",221,1536872596,2018-09-13Z
3150,TRA19G,90,"52.208954,4.489441",228,1536872581,2018-09-13Z
3450,TRA19G,99,"52.209404,4.471671",227,1536872570,2018-09-13Z
3825,TRA19G,113,"52.212112,4.453964",224,1536872560,2018-09-13Z
3950,TRA19G,114,"52.214172,4.446259",225,1536872554,2018-09-13Z
4125,TRA19G,114,"52.218887,4.429474",229,1536872544,2018-09-13Z
4225,TRA19G,115,"52.221863,4.418945",235,1536872537,2018-09-13Z
4350,TRA19G,116,"52.226631,4.402614",241,1536872527,2018-09-13Z
4675,TRA19G,74,"52.234177,4.352875",253,1536872502,2018-09-13Z
4750,TRA19G,69,"52.230541,4.335205",259,1536872492,2018-09-13Z
4850,TRA19G,70,"52.225468,4.313076",271,1536872482,2018-09-13Z
4900,TRA19G,70,"52.223099,4.302521",271,1536872472,2018-09-13Z
5025,TRA19G,71,"52.21909,4.284432",275,1536872462,2018-09-13Z
5325,TRA19G,71,"52.213734,4.25885",280,1536872452,2018-09-13Z
5600,TRA19G,48,"52.206528,4.232559",278,1536872437,2018-09-13Z
5825,TRA19G,31,"52.199814,4.220241",272,1536872427,2018-09-13Z
6350,TRA19G,25,"52.181122,4.203262",271,1536872412,2018-09-13Z
6550,TRA19G,25,"52.166344,4.191912",275,1536872397,2018-09-13Z
6900,TRA19G,25,"52.138554,4.170724",291,1536872377,2018-09-13Z
6975,TRA19G,25,"52.123993,4.159775",297,1536872362,2018-09-13Z
7100,TRA19G,25,"52.103081,4.144043",309,1536872347,2018-09-13Z
7275,TRA19G,25,"52.082291,4.128189",319,1536872332,2018-09-13Z
7450,TRA19G,21,"52.052525,4.107631",331,1536872307,2018-09-13Z
7500,TRA19G,21,"52.02507,4.090347",348,1536872292,2018-09-13Z
7700,TRA19G,21,"52.004059,4.0771",346,1536872274,2018-09-13Z
8625,TRA19G,21,"51.96899,4.05533",347,1536872254,2018-09-13Z
9300,TRA19G,20,"51.948109,4.04258",348,1536872239,2018-09-13Z
10050,TRA19G,20,"51.927891,4.03015",343,1536872224,2018-09-13Z
10325,TRA19G,20,"51.906559,4.01703",343,1536872209,2018-09-13Z
10425,TRA19G,21,"51.882751,4.00236",346,1536872194,2018-09-13Z
10625,TRA19G,20,"51.860641,3.98871",359,1536872179,2018-09-13Z
10800,TRA19G,20,"51.837219,3.97423",376,1536872164,2018-09-13Z
11325,TRA19G,20,"51.80777,3.95619",379,1536872149,2018-09-13Z
11800,TRA19G,20,"51.786388,3.94305",383,1536872134,2018-09-13Z
13200,TRA19G,21,"51.73114,3.90928",379,1536872099,2018-09-13Z
14575,TRA19G,20,"51.671631,3.87268",395,1536872064,2018-09-13Z
15950,TRA19G,21,"51.612171,3.83646",395,1536872029,2018-09-13Z
17375,TRA19G,20,"51.550282,3.79889",410,1536871994,2018-09-13Z
20425,TRA19G,20,"51.415504,3.717422",428,1536871920,2018-09-13Z
22650,TRA19G,18,"51.295395,3.644863",441,1536871856,2018-09-13Z
23700,TRA19G,17,"51.179947,3.587259",445,1536871797,2018-09-13Z
23975,TRA19G,17,"51.055115,3.526314",430,1536871733,2018-09-13Z
24000,TRA19G,17,"50.928707,3.464432",453,1536871670,2018-09-13Z
24000,TRA19G,17,"50.813324,3.408508",452,1536871611,2018-09-13Z
24000,TRA19G,16,"50.692474,3.350013",448,1536871551,2018-09-13Z
24000,TRA19G,16,"50.558849,3.286174",446,1536871483,2018-09-13Z
24000,TRA19G,16,"50.437443,3.228422",446,1536871421,2018-09-13Z
24025,TRA19G,24,"50.235241,3.131708",402,1536871334,2018-09-13Z
24000,TRA19G,24,"50.196743,3.103803",377,1536871306,2018-09-13Z
24000,TRA19G,33,"50.093895,3.030527",380,1536871241,2018-09-13Z
24000,TRA19G,60,"50.081676,3.021582",379,1536871232,2018-09-13Z
24000,TRA19G,170,"50.047058,2.998198",380,1536871212,2018-09-13Z
23999,TRA19G,23,"50.022125,2.984582",380,1536871197,2018-09-13Z
24000,TRA19G,23,"49.866497,2.871075",380,1536871101,2018-09-13Z
24000,TRA19G,25,"49.794334,2.819003",380,1536871056,2018-09-13Z
24000,TRA19G,24,"49.673428,2.734928",379,1536870964,2018-09-13Z
24000,TRA19G,24,"49.600899,2.684079",378,1536870919,2018-09-13Z
24000,TRA19G,24,"49.499973,2.61289",376,1536870855,2018-09-13Z
24000,TRA19G,24,"49.405197,2.546786",378,1536870796,2018-09-13Z
