Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545309926,2018-12-20T12:45:26Z,KLM1741,"52.299484,4.755569",0,25,137
1545309983,2018-12-20T12:46:23Z,KLM1741,"52.300426,4.758816",0,19,87
1545309990,2018-12-20T12:46:30Z,KLM1741,"52.300312,4.759297",0,24,120
1545310039,2018-12-20T12:47:19Z,KLM1741,"52.301651,4.764366",0,21,59
1545310046,2018-12-20T12:47:26Z,KLM1741,"52.302139,4.765614",0,23,59
1545310055,2018-12-20T12:47:35Z,KLM1741,"52.302612,4.766884",0,24,59
1545310081,2018-12-20T12:48:01Z,KLM1741,"52.30434,4.771366",0,28,59
1545310095,2018-12-20T12:48:15Z,KLM1741,"52.305222,4.773638",0,24,59
1545310107,2018-12-20T12:48:27Z,KLM1741,"52.305943,4.775403",0,21,54
1545310117,2018-12-20T12:48:37Z,KLM1741,"52.306839,4.775894",0,22,2
1545310130,2018-12-20T12:48:50Z,KLM1741,"52.308258,4.776031",0,24,2
1545310136,2018-12-20T12:48:56Z,KLM1741,"52.30899,4.77609",0,25,2
1545310144,2018-12-20T12:49:04Z,KLM1741,"52.309784,4.776169",0,22,2
1545310152,2018-12-20T12:49:12Z,KLM1741,"52.310589,4.776249",0,21,2
1545310166,2018-12-20T12:49:26Z,KLM1741,"52.311871,4.776363",0,21,5
1545310173,2018-12-20T12:49:33Z,KLM1741,"52.31266,4.776726",0,17,36
1545310180,2018-12-20T12:49:40Z,KLM1741,"52.312939,4.777346",0,16,61
1545310186,2018-12-20T12:49:46Z,KLM1741,"52.313118,4.777851",0,34,59
1545310194,2018-12-20T12:49:54Z,KLM1741,"52.313496,4.778709",0,34,53
1545310201,2018-12-20T12:50:01Z,KLM1741,"52.313599,4.779243",0,19,92
1545310208,2018-12-20T12:50:08Z,KLM1741,"52.313438,4.779472",0,17,165
1545310242,2018-12-20T12:50:42Z,KLM1741,"52.313198,4.779434",0,33,185
1545310270,2018-12-20T12:51:10Z,KLM1741,"52.303802,4.778519",150,94,183
1545310276,2018-12-20T12:51:16Z,KLM1741,"52.299408,4.778137",150,146,183
1545310282,2018-12-20T12:51:22Z,KLM1741,"52.2952,4.777797",350,144,183
1545310288,2018-12-20T12:51:28Z,KLM1741,"52.291336,4.777483",675,140,182
1545310311,2018-12-20T12:51:51Z,KLM1741,"52.277466,4.780465",1575,145,167
1545310319,2018-12-20T12:51:59Z,KLM1741,"52.271553,4.782977",1975,147,164
1545310327,2018-12-20T12:52:07Z,KLM1741,"52.265408,4.785723",2150,162,165
1545310335,2018-12-20T12:52:15Z,KLM1741,"52.260956,4.787521",2225,173,165
1545310347,2018-12-20T12:52:27Z,KLM1741,"52.250748,4.791565",2400,194,167
1545310358,2018-12-20T12:52:38Z,KLM1741,"52.239666,4.795925",2825,204,165
1545310371,2018-12-20T12:52:51Z,KLM1741,"52.228771,4.800633",3325,211,164
1545310382,2018-12-20T12:53:02Z,KLM1741,"52.216763,4.804792",3850,221,170
1545310391,2018-12-20T12:53:11Z,KLM1741,"52.207355,4.805969",4050,235,178
1545310399,2018-12-20T12:53:19Z,KLM1741,"52.197464,4.805222",4375,242,184
1545310406,2018-12-20T12:53:26Z,KLM1741,"52.190411,4.804243",4650,247,185
1545310417,2018-12-20T12:53:37Z,KLM1741,"52.177376,4.80236",5275,251,185
1545310431,2018-12-20T12:53:51Z,KLM1741,"52.163319,4.800476",5975,254,185
1545310441,2018-12-20T12:54:01Z,KLM1741,"52.148281,4.798279",6700,259,185
1545310454,2018-12-20T12:54:14Z,KLM1741,"52.13385,4.796238",7425,261,185
1545310465,2018-12-20T12:54:25Z,KLM1741,"52.119644,4.794312",8125,262,184
1545310478,2018-12-20T12:54:38Z,KLM1741,"52.104858,4.792252",8725,268,185
1545310490,2018-12-20T12:54:50Z,KLM1741,"52.089981,4.790115",9325,270,184
1545310502,2018-12-20T12:55:02Z,KLM1741,"52.075706,4.788156",9900,273,184
1545310516,2018-12-20T12:55:16Z,KLM1741,"52.05946,4.78588",10550,276,185
1545310526,2018-12-20T12:55:26Z,KLM1741,"52.044659,4.78384",11125,278,184
1545310540,2018-12-20T12:55:40Z,KLM1741,"52.026035,4.78125",11825,281,184
1545310553,2018-12-20T12:55:53Z,KLM1741,"52.008682,4.778748",12425,284,185
1545310590,2018-12-20T12:56:30Z,KLM1741,"51.962864,4.772147",14000,291,185
1545310622,2018-12-20T12:57:02Z,KLM1741,"51.917103,4.763907",15450,294,190
1545310629,2018-12-20T12:57:09Z,KLM1741,"51.907837,4.759903",15750,293,197
1545310636,2018-12-20T12:57:16Z,KLM1741,"51.898865,4.754333",16025,292,203
1545310642,2018-12-20T12:57:22Z,KLM1741,"51.894154,4.750724",16175,292,206
1545310651,2018-12-20T12:57:31Z,KLM1741,"51.881493,4.739151",16600,293,210
1545310659,2018-12-20T12:57:39Z,KLM1741,"51.873951,4.732056",16850,294,210
1545310692,2018-12-20T12:58:12Z,KLM1741,"51.830475,4.694799",17575,327,206
1545310725,2018-12-20T12:58:45Z,KLM1741,"51.783501,4.65744",17975,361,205
