Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550035952,2019-02-13T05:32:32Z,KLM28Q,"47.437008,19.260303",0,31,312
1550035958,2019-02-13T05:32:38Z,KLM28Q,"47.437225,19.259926",0,27,312
1550035964,2019-02-13T05:32:44Z,KLM28Q,"47.437351,19.259583",0,24,284
1550035973,2019-02-13T05:32:53Z,KLM28Q,"47.437256,19.259068",0,22,233
1550035982,2019-02-13T05:33:02Z,KLM28Q,"47.436939,19.258638",0,27,222
1550035991,2019-02-13T05:33:11Z,KLM28Q,"47.436569,19.258118",0,32,222
1550035999,2019-02-13T05:33:19Z,KLM28Q,"47.436069,19.257488",0,16,222
1550036009,2019-02-13T05:33:29Z,KLM28Q,"47.43552,19.256664",0,18,222
1550036015,2019-02-13T05:33:35Z,KLM28Q,"47.435146,19.256233",0,18,222
1550036021,2019-02-13T05:33:41Z,KLM28Q,"47.434765,19.255724",0,19,222
1550036033,2019-02-13T05:33:53Z,KLM28Q,"47.433994,19.254702",0,18,225
1550036045,2019-02-13T05:34:05Z,KLM28Q,"47.43338,19.253798",0,32,222
1550036059,2019-02-13T05:34:19Z,KLM28Q,"47.432888,19.253145",0,26,222
1550036068,2019-02-13T05:34:28Z,KLM28Q,"47.432545,19.252665",0,23,225
1550036079,2019-02-13T05:34:39Z,KLM28Q,"47.432308,19.252361",0,12,219
1550036102,2019-02-13T05:35:02Z,KLM28Q,"47.432087,19.252081",0,16,219
1550036108,2019-02-13T05:35:08Z,KLM28Q,"47.431946,19.251867",0,20,222
1550036116,2019-02-13T05:35:16Z,KLM28Q,"47.431797,19.251656",0,18,222
1550036126,2019-02-13T05:35:26Z,KLM28Q,"47.43153,19.251305",0,12,222
1550036212,2019-02-13T05:36:52Z,KLM28Q,"47.431293,19.251022",0,18,222
1550036218,2019-02-13T05:36:58Z,KLM28Q,"47.431114,19.250759",0,25,222
1550036225,2019-02-13T05:37:05Z,KLM28Q,"47.430889,19.250494",0,28,222
1550036231,2019-02-13T05:37:11Z,KLM28Q,"47.430702,19.250158",0,22,241
1550036237,2019-02-13T05:37:17Z,KLM28Q,"47.430737,19.249849",0,20,300
1550036243,2019-02-13T05:37:23Z,KLM28Q,"47.430782,19.250301",0,2,300
1550036283,2019-02-13T05:38:03Z,KLM28Q,"47.430828,19.249729",0,0,312
1550036300,2019-02-13T05:38:20Z,KLM28Q,"47.430981,19.249491",0,27,312
1550036306,2019-02-13T05:38:26Z,KLM28Q,"47.431515,19.24861",0,42,312
1550036313,2019-02-13T05:38:33Z,KLM28Q,"47.432644,19.24692",0,68,312
1550036321,2019-02-13T05:38:41Z,KLM28Q,"47.43504,19.242983",0,100,312
1550036327,2019-02-13T05:38:47Z,KLM28Q,"47.437271,19.239447",0,120,312
1550036339,2019-02-13T05:38:59Z,KLM28Q,"47.442535,19.230949",0,152,312
