Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,KLM67R,202,"47.434261,19.263102",12,1521458565,2018-03-19Z
0,KLM67R,202,"47.434467,19.263376",16,1521458554,2018-03-19Z
0,KLM67R,180,"47.434776,19.263685",18,1521458542,2018-03-19Z
0,KLM67R,132,"47.435017,19.263479",28,1521458533,2018-03-19Z
0,KLM67R,132,"47.435452,19.262819",28,1521458521,2018-03-19Z
0,KLM67R,163,"47.435799,19.262362",26,1521458512,2018-03-19Z
0,KLM67R,222,"47.436218,19.262518",33,1521458502,2018-03-19Z
0,KLM67R,222,"47.436729,19.263224",17,1521458493,2018-03-19Z
0,KLM67R,222,"47.43708,19.263716",16,1521458487,2018-03-19Z
0,KLM67R,222,"47.437439,19.264122",32,1521458481,2018-03-19Z
0,KLM67R,222,"47.437798,19.264664",30,1521458472,2018-03-19Z
0,KLM67R,267,"47.438004,19.265127",33,1521458466,2018-03-19Z
0,KLM67R,281,"47.437946,19.265848",21,1521458460,2018-03-19Z
0,KLM67R,284,"47.437809,19.266775",25,1521458454,2018-03-19Z
0,KLM67R,278,"47.437626,19.267891",30,1521458448,2018-03-19Z
0,KLM67R,295,"47.437168,19.270432",33,1521458436,2018-03-19Z
0,KLM67R,306,"47.436699,19.27165",34,1521458430,2018-03-19Z
0,KLM67R,312,"47.435719,19.273418",47,1521458421,2018-03-19Z
0,KLM67R,312,"47.434765,19.275108",65,1521458415,2018-03-19Z
0,KLM67R,312,"47.432659,19.27862",90,1521458406,2018-03-19Z
0,KLM67R,309,"47.430679,19.281658",105,1521458400,2018-03-19Z
0,KLM67R,312,"47.428654,19.285229",125,1521458394,2018-03-19Z
550,KLM67R,312,"47.426193,19.289314",144,1521458388,2018-03-19Z
600,KLM67R,312,"47.423492,19.293777",145,1521458382,2018-03-19Z
700,KLM67R,312,"47.420609,19.298103",146,1521458376,2018-03-19Z
775,KLM67R,312,"47.417862,19.302567",144,1521458370,2018-03-19Z
900,KLM67R,312,"47.413689,19.309246",145,1521458361,2018-03-19Z
1000,KLM67R,312,"47.410942,19.313683",148,1521458355,2018-03-19Z
1075,KLM67R,311,"47.407867,19.31826",148,1521458349,2018-03-19Z
1200,KLM67R,313,"47.403946,19.324883",145,1521458340,2018-03-19Z
1275,KLM67R,313,"47.401245,19.329277",145,1521458334,2018-03-19Z
1375,KLM67R,312,"47.398224,19.333672",147,1521458328,2018-03-19Z
1500,KLM67R,311,"47.393997,19.340374",147,1521458319,2018-03-19Z
1575,KLM67R,312,"47.391434,19.34481",145,1521458313,2018-03-19Z
1675,KLM67R,311,"47.388641,19.349178",147,1521458307,2018-03-19Z
1750,KLM67R,311,"47.386036,19.353756",152,1521458301,2018-03-19Z
1825,KLM67R,313,"47.383194,19.358473",158,1521458295,2018-03-19Z
1925,KLM67R,312,"47.379982,19.363192",159,1521458289,2018-03-19Z
2025,KLM67R,312,"47.377003,19.368122",160,1521458283,2018-03-19Z
2150,KLM67R,312,"47.372543,19.375488",162,1521458274,2018-03-19Z
2250,KLM67R,312,"47.369385,19.380501",167,1521458268,2018-03-19Z
2350,KLM67R,311,"47.366226,19.385719",172,1521458262,2018-03-19Z
2450,KLM67R,312,"47.363068,19.391006",176,1521458255,2018-03-19Z
2650,KLM67R,312,"47.357685,19.399179",183,1521458247,2018-03-19Z
2800,KLM67R,312,"47.353867,19.405632",183,1521458241,2018-03-19Z
2975,KLM67R,312,"47.349289,19.412979",181,1521458232,2018-03-19Z
3175,KLM67R,313,"47.342239,19.423759",183,1521458220,2018-03-19Z
3200,KLM67R,313,"47.338898,19.42939",190,1521458214,2018-03-19Z
3250,KLM67R,312,"47.335098,19.435158",190,1521458208,2018-03-19Z
3350,KLM67R,312,"47.324074,19.453337",189,1521458190,2018-03-19Z
3400,KLM67R,311,"47.317749,19.463928",189,1521458179,2018-03-19Z
3450,KLM67R,311,"47.311569,19.473816",190,1521458169,2018-03-19Z
3525,KLM67R,315,"47.300194,19.491789",191,1521458149,2018-03-19Z
3575,KLM67R,306,"47.294186,19.501156",192,1521458140,2018-03-19Z
3625,KLM67R,283,"47.289299,19.512352",195,1521458129,2018-03-19Z
3675,KLM67R,283,"47.286438,19.526482",195,1521458119,2018-03-19Z
3775,KLM67R,283,"47.282318,19.552368",195,1521458099,2018-03-19Z
3800,KLM67R,283,"47.281082,19.560265",195,1521458093,2018-03-19Z
3875,KLM67R,284,"47.279152,19.571861",194,1521458084,2018-03-19Z
4125,KLM67R,246,"47.276505,19.603867",192,1521458059,2018-03-19Z
4175,KLM67R,226,"47.281338,19.616018",195,1521458049,2018-03-19Z
4175,KLM67R,224,"47.286785,19.623625",200,1521458039,2018-03-19Z
