Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545411872,2018-12-21T17:04:32Z,LGL4883,"49.631916,6.216292",0,0,191
1545412151,2018-12-21T17:09:11Z,LGL4883,"49.631824,6.215985",0,9,241
1545412170,2018-12-21T17:09:30Z,LGL4883,"49.631573,6.215931",0,14,163
1545412185,2018-12-21T17:09:45Z,LGL4883,"49.631207,6.216238",0,19,151
1545412194,2018-12-21T17:09:54Z,LGL4883,"49.631001,6.216491",0,15,132
1545412211,2018-12-21T17:10:11Z,LGL4883,"49.630981,6.217074",0,16,75
1545412220,2018-12-21T17:10:20Z,LGL4883,"49.631123,6.217556",0,25,64
1545412226,2018-12-21T17:10:26Z,LGL4883,"49.63126,6.21802",0,31,64
1545412241,2018-12-21T17:10:41Z,LGL4883,"49.631691,6.21945",0,16,64
1545412250,2018-12-21T17:10:50Z,LGL4883,"49.632019,6.22047",0,17,61
1545412260,2018-12-21T17:11:00Z,LGL4883,"49.632366,6.221639",0,17,64
1545412266,2018-12-21T17:11:06Z,LGL4883,"49.632565,6.222252",0,18,61
1545412277,2018-12-21T17:11:17Z,LGL4883,"49.632973,6.223569",0,18,64
1545412285,2018-12-21T17:11:25Z,LGL4883,"49.633263,6.224516",0,18,61
1545412300,2018-12-21T17:11:40Z,LGL4883,"49.63393,6.226339",0,18,59
1545412310,2018-12-21T17:11:50Z,LGL4883,"49.634323,6.227392",0,18,59
1545412322,2018-12-21T17:12:02Z,LGL4883,"49.634823,6.228747",0,19,59
1545412333,2018-12-21T17:12:13Z,LGL4883,"49.635315,6.230061",0,19,59
1545412339,2018-12-21T17:12:19Z,LGL4883,"49.635578,6.230766",0,17,59
1545412345,2018-12-21T17:12:25Z,LGL4883,"49.63583,6.231434",0,18,59
1545412370,2018-12-21T17:12:50Z,LGL4883,"49.636642,6.233639",0,28,64
1545412392,2018-12-21T17:13:12Z,LGL4883,"49.635899,6.234958",0,25,151
1545412401,2018-12-21T17:13:21Z,LGL4883,"49.635498,6.235149",0,25,174
1545412407,2018-12-21T17:13:27Z,LGL4883,"49.635254,6.235038",0,22,205
1545412417,2018-12-21T17:13:37Z,LGL4883,"49.635063,6.234687",0,14,239
1545412441,2018-12-21T17:14:01Z,LGL4883,"49.634937,6.234362",0,33,239
1545412451,2018-12-21T17:14:11Z,LGL4883,"49.634045,6.231995",0,57,241
1545412477,2018-12-21T17:14:37Z,LGL4883,"49.627487,6.214142",1425,145,240
1545412484,2018-12-21T17:14:44Z,LGL4883,"49.625477,6.208314",1675,142,243
1545412491,2018-12-21T17:14:51Z,LGL4883,"49.623001,6.200481",2050,144,244
1545412498,2018-12-21T17:14:58Z,LGL4883,"49.62117,6.19506",2400,137,242
1545412507,2018-12-21T17:15:07Z,LGL4883,"49.618587,6.187159",2875,137,243
1545412517,2018-12-21T17:15:17Z,LGL4883,"49.615562,6.178696",3250,147,239
1545412523,2018-12-21T17:15:23Z,LGL4883,"49.613468,6.172906",3475,156,241
1545412532,2018-12-21T17:15:32Z,LGL4883,"49.61055,6.164197",3800,164,244
1545412538,2018-12-21T17:15:38Z,LGL4883,"49.608994,6.155596",4075,174,259
1545412563,2018-12-21T17:16:03Z,LGL4883,"49.61705,6.126396",5500,200,320
1545412569,2018-12-21T17:16:09Z,LGL4883,"49.620636,6.122057",5925,197,323
1545412583,2018-12-21T17:16:23Z,LGL4883,"49.630413,6.108696",7050,186,314
1545412597,2018-12-21T17:16:37Z,LGL4883,"49.639435,6.094593",7675,202,315
1545412608,2018-12-21T17:16:48Z,LGL4883,"49.64624,6.084273",8150,210,315
1545412619,2018-12-21T17:16:59Z,LGL4883,"49.654572,6.071654",8675,222,315
1545412632,2018-12-21T17:17:12Z,LGL4883,"49.664062,6.057298",9300,229,315
1545412643,2018-12-21T17:17:23Z,LGL4883,"49.673191,6.044039",10075,230,317
1545412658,2018-12-21T17:17:38Z,LGL4883,"49.684505,6.028228",10775,241,317
1545412669,2018-12-21T17:17:49Z,LGL4883,"49.69405,6.014644",11200,254,316
1545412683,2018-12-21T17:18:03Z,LGL4883,"49.706268,5.996583",11725,267,315
1545412699,2018-12-21T17:18:19Z,LGL4883,"49.720047,5.97584",12150,287,315
1545412729,2018-12-21T17:18:49Z,LGL4883,"49.750004,5.931801",13725,298,316
1545412764,2018-12-21T17:19:24Z,LGL4883,"49.785244,5.880432",15600,305,316
1545412798,2018-12-21T17:19:58Z,LGL4883,"49.82135,5.827669",17550,306,316
1545412833,2018-12-21T17:20:33Z,LGL4883,"49.857147,5.77505",19350,308,316
1545412894,2018-12-21T17:21:34Z,LGL4883,"49.920433,5.681268",21775,325,316
1545412960,2018-12-21T17:22:40Z,LGL4883,"49.995712,5.570285",23950,350,316
1545413021,2018-12-21T17:23:41Z,LGL4883,"50.06749,5.46353",26475,352,316
1545413084,2018-12-21T17:24:44Z,LGL4883,"50.142975,5.350848",28475,362,316
1545413150,2018-12-21T17:25:50Z,LGL4883,"50.222137,5.232164",30675,361,316
1545413216,2018-12-21T17:26:56Z,LGL4883,"50.30146,5.112354",32825,356,315
1545413278,2018-12-21T17:27:58Z,LGL4883,"50.372681,5.004345",34650,350,315
1545413323,2018-12-21T17:28:43Z,LGL4883,"50.423244,4.920019",35725,341,305
1545413330,2018-12-21T17:28:50Z,LGL4883,"50.428436,4.907709",35800,340,302
1545413337,2018-12-21T17:28:57Z,LGL4883,"50.433289,4.89506",35900,340,300
1545413344,2018-12-21T17:29:04Z,LGL4883,"50.440109,4.876195",36025,341,299
1545413407,2018-12-21T17:30:07Z,LGL4883,"50.490555,4.739806",37100,346,300
1545413470,2018-12-21T17:31:10Z,LGL4883,"50.541092,4.601898",38000,347,299
1545413533,2018-12-21T17:32:13Z,LGL4883,"50.591217,4.464497",38000,346,299
1545413597,2018-12-21T17:33:17Z,LGL4883,"50.640873,4.326832",38000,343,299
1545413656,2018-12-21T17:34:16Z,LGL4883,"50.68766,4.197083",38000,345,299
1545413721,2018-12-21T17:35:21Z,LGL4883,"50.737099,4.05899",38000,344,299
1545413746,2018-12-21T17:35:46Z,LGL4883,"50.756649,4.004059",38000,345,299
1545413837,2018-12-21T17:37:17Z,LGL4883,"50.827827,3.804169",38000,343,299
1545413901,2018-12-21T17:38:21Z,LGL4883,"50.878143,3.661788",38000,345,298
1545413966,2018-12-21T17:39:26Z,LGL4883,"50.928497,3.517629",38000,346,299
1545414031,2018-12-21T17:40:31Z,LGL4883,"50.979538,3.371912",38000,348,298
