Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,DLH8AM,177,"47.434402,19.261692",11,1531504145,2018-07-13Z
0,DLH8AM,177,"47.434628,19.26166",21,1531504131,2018-07-13Z
0,DLH8AM,174,"47.435154,19.261625",26,1531504119,2018-07-13Z
0,DLH8AM,191,"47.43544,19.261585",23,1531504113,2018-07-13Z
0,DLH8AM,222,"47.435806,19.2619",28,1531504104,2018-07-13Z
0,DLH8AM,222,"47.436138,19.262342",27,1531504097,2018-07-13Z
0,DLH8AM,222,"47.436359,19.262642",28,1531504090,2018-07-13Z
0,DLH8AM,222,"47.436722,19.263136",30,1531504080,2018-07-13Z
0,DLH8AM,222,"47.437088,19.263634",27,1531504073,2018-07-13Z
0,DLH8AM,222,"47.437416,19.264051",26,1531504062,2018-07-13Z
0,DLH8AM,222,"47.437744,19.264509",28,1531504054,2018-07-13Z
0,DLH8AM,255,"47.437954,19.264843",30,1531504047,2018-07-13Z
0,DLH8AM,281,"47.437904,19.265934",18,1531504037,2018-07-13Z
0,DLH8AM,284,"47.437809,19.266655",21,1531504029,2018-07-13Z
0,DLH8AM,284,"47.437603,19.267994",22,1531504022,2018-07-13Z
0,DLH8AM,286,"47.437397,19.269316",25,1531504011,2018-07-13Z
0,DLH8AM,312,"47.436043,19.272713",42,1531503991,2018-07-13Z
0,DLH8AM,312,"47.434704,19.274879",57,1531503983,2018-07-13Z
0,DLH8AM,312,"47.433048,19.277573",69,1531503974,2018-07-13Z
0,DLH8AM,312,"47.429363,19.283546",105,1531503958,2018-07-13Z
350,DLH8AM,312,"47.426163,19.288683",132,1531503949,2018-07-13Z
400,DLH8AM,312,"47.42244,19.294668",133,1531503941,2018-07-13Z
525,DLH8AM,312,"47.418549,19.300919",133,1531503931,2018-07-13Z
650,DLH8AM,312,"47.413605,19.308952",132,1531503920,2018-07-13Z
1500,DLH8AM,311,"47.382431,19.359009",133,1531503843,2018-07-13Z
1650,DLH8AM,312,"47.377563,19.367136",132,1531503830,2018-07-13Z
1750,DLH8AM,312,"47.373837,19.373121",135,1531503822,2018-07-13Z
1875,DLH8AM,313,"47.370026,19.379265",145,1531503814,2018-07-13Z
2025,DLH8AM,312,"47.364258,19.388466",157,1531503801,2018-07-13Z
2275,DLH8AM,312,"47.353542,19.405659",174,1531503782,2018-07-13Z
2375,DLH8AM,312,"47.350098,19.411222",175,1531503774,2018-07-13Z
2525,DLH8AM,312,"47.345215,19.419159",177,1531503765,2018-07-13Z
2625,DLH8AM,312,"47.341949,19.424391",179,1531503758,2018-07-13Z
2800,DLH8AM,313,"47.336876,19.432421",179,1531503749,2018-07-13Z
2800,DLH8AM,312,"47.33157,19.440731",185,1531503742,2018-07-13Z
2825,DLH8AM,312,"47.326447,19.4489",189,1531503732,2018-07-13Z
2900,DLH8AM,312,"47.319351,19.460289",196,1531503721,2018-07-13Z
2950,DLH8AM,312,"47.315556,19.466366",200,1531503714,2018-07-13Z
3175,DLH8AM,13,"47.296608,19.482845",204,1531503692,2018-07-13Z
3250,DLH8AM,19,"47.287529,19.481859",211,1531503682,2018-07-13Z
3350,DLH8AM,34,"47.27948,19.476906",219,1531503673,2018-07-13Z
3500,DLH8AM,43,"47.272167,19.468618",227,1531503663,2018-07-13Z
3600,DLH8AM,43,"47.267422,19.461998",229,1531503657,2018-07-13Z
3700,DLH8AM,42,"47.262951,19.455801",229,1531503651,2018-07-13Z
3875,DLH8AM,41,"47.253204,19.44278",231,1531503640,2018-07-13Z
3950,DLH8AM,42,"47.248718,19.436943",232,1531503634,2018-07-13Z
4025,DLH8AM,53,"47.243683,19.429871",236,1531503626,2018-07-13Z
4500,DLH8AM,110,"47.237301,19.384531",261,1531503600,2018-07-13Z
4550,DLH8AM,117,"47.238976,19.377911",261,1531503594,2018-07-13Z
4725,DLH8AM,128,"47.24498,19.363262",264,1531503584,2018-07-13Z
4975,DLH8AM,128,"47.253407,19.34791",263,1531503573,2018-07-13Z
5350,DLH8AM,129,"47.26268,19.331062",263,1531503561,2018-07-13Z
5525,DLH8AM,129,"47.273666,19.31115",273,1531503547,2018-07-13Z
5675,DLH8AM,128,"47.283234,19.293709",278,1531503535,2018-07-13Z
5875,DLH8AM,129,"47.293396,19.27523",280,1531503523,2018-07-13Z
6150,DLH8AM,128,"47.305527,19.253265",287,1531503509,2018-07-13Z
6375,DLH8AM,128,"47.318161,19.230089",300,1531503493,2018-07-13Z
6650,DLH8AM,128,"47.332809,19.203415",312,1531503476,2018-07-13Z
7225,DLH8AM,128,"47.350235,19.171425",311,1531503459,2018-07-13Z
7650,DLH8AM,128,"47.364155,19.145931",312,1531503442,2018-07-13Z
8200,DLH8AM,128,"47.383713,19.1101",320,1531503422,2018-07-13Z
8550,DLH8AM,128,"47.40564,19.07",332,1531503398,2018-07-13Z
8725,DLH8AM,128,"47.417999,19.047409",341,1531503384,2018-07-13Z
8925,DLH8AM,128,"47.429749,19.025715",349,1531503373,2018-07-13Z
9125,DLH8AM,128,"47.440613,19.005867",352,1531503361,2018-07-13Z
9400,DLH8AM,128,"47.454048,18.981205",363,1531503349,2018-07-13Z
9700,DLH8AM,128,"47.467896,18.955605",364,1531503336,2018-07-13Z
10200,DLH8AM,128,"47.4814,18.930748",362,1531503322,2018-07-13Z
10675,DLH8AM,128,"47.493118,18.909119",362,1531503311,2018-07-13Z
11200,DLH8AM,128,"47.510284,18.877396",364,1531503295,2018-07-13Z
11475,DLH8AM,128,"47.521317,18.856976",364,1531503286,2018-07-13Z
11825,DLH8AM,128,"47.535782,18.830292",366,1531503271,2018-07-13Z
