Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542980135,2018-11-23T13:35:35Z,DLH1RP,"48.381733,11.848352",3305,0,26
1542980156,2018-11-23T13:35:56Z,DLH1RP,"48.385796,11.870385",4110,176,85
1542980163,2018-11-23T13:36:03Z,DLH1RP,"48.387363,11.87743",4372,161,80
1542980171,2018-11-23T13:36:11Z,DLH1RP,"48.390537,11.882683",4612,152,62
1542980179,2018-11-23T13:36:19Z,DLH1RP,"48.394939,11.885336",4799,147,41
1542980188,2018-11-23T13:36:28Z,DLH1RP,"48.400322,11.886006",4970,140,17
1542980212,2018-11-23T13:36:52Z,DLH1RP,"48.41951,11.878031",5539,172,322
1542980226,2018-11-23T13:37:06Z,DLH1RP,"48.43309,11.864163",5949,244,325
1542980234,2018-11-23T13:37:14Z,DLH1RP,"48.439156,11.8548",6159,244,319
1542980243,2018-11-23T13:37:23Z,DLH1RP,"48.445122,11.844236",6359,244,316
1542980250,2018-11-23T13:37:30Z,DLH1RP,"48.451637,11.832352",6530,244,312
1542980258,2018-11-23T13:37:38Z,DLH1RP,"48.458115,11.819397",6668,276,309
1542980266,2018-11-23T13:37:46Z,DLH1RP,"48.463924,11.806906",6786,298,306
1542980280,2018-11-23T13:38:00Z,DLH1RP,"48.475273,11.78554",6987,312,309
1542980292,2018-11-23T13:38:12Z,DLH1RP,"48.487141,11.767632",7178,318,312
1542980300,2018-11-23T13:38:20Z,DLH1RP,"48.497353,11.755244",7313,332,318
1542980306,2018-11-23T13:38:26Z,DLH1RP,"48.507214,11.744758",7435,332,322
1542980314,2018-11-23T13:38:34Z,DLH1RP,"48.51807,11.734427",7562,332,325
1542980322,2018-11-23T13:38:42Z,DLH1RP,"48.5289,11.725101",7964,328,328
1542980334,2018-11-23T13:38:54Z,DLH1RP,"48.54644,11.711206",7877,328,332
1542980348,2018-11-23T13:39:08Z,DLH1RP,"48.564148,11.698293",8583,328,334
1542980360,2018-11-23T13:39:20Z,DLH1RP,"48.580624,11.687055",9369,328,335
1542980370,2018-11-23T13:39:30Z,DLH1RP,"48.598457,11.67487",10009,320,335
1542980388,2018-11-23T13:39:48Z,DLH1RP,"48.620697,11.659902",10786,322,336
1542980402,2018-11-23T13:40:02Z,DLH1RP,"48.643406,11.644795",11550,328,336
1542980414,2018-11-23T13:40:14Z,DLH1RP,"48.660255,11.633269",12026,334,336
1542980447,2018-11-23T13:40:47Z,DLH1RP,"48.704819,11.601891",13551,334,335
1542980479,2018-11-23T13:41:19Z,DLH1RP,"48.750195,11.568893",15264,336,335
1542980510,2018-11-23T13:41:50Z,DLH1RP,"48.794197,11.53633",16649,342,334
1542980542,2018-11-23T13:42:22Z,DLH1RP,"48.841423,11.501525",17706,356,334
1542980572,2018-11-23T13:42:52Z,DLH1RP,"48.883083,11.470428",18910,366,334
1542980598,2018-11-23T13:43:18Z,DLH1RP,"48.927177,11.447661",19920,374,345
1542980604,2018-11-23T13:43:24Z,DLH1RP,"48.933979,11.445364",20027,380,345
1542980611,2018-11-23T13:43:31Z,DLH1RP,"48.948269,11.441149",20244,384,347
1542980624,2018-11-23T13:43:44Z,DLH1RP,"48.969719,11.436596",20697,384,352
1542980686,2018-11-23T13:44:46Z,DLH1RP,"49.08366,11.422366",23199,390,356
1542980743,2018-11-23T13:45:43Z,DLH1RP,"49.186275,11.409565",24460,401,88
1542980750,2018-11-23T13:45:50Z,DLH1RP,"49.202709,11.410168",24609,428,22
1542980758,2018-11-23T13:45:58Z,DLH1RP,"49.218063,11.411627",24735,434,7
1542980764,2018-11-23T13:46:04Z,DLH1RP,"49.225975,11.412661",24806,436,7
1542980772,2018-11-23T13:46:12Z,DLH1RP,"49.241806,11.415029",24935,438,5
1542980779,2018-11-23T13:46:19Z,DLH1RP,"49.257679,11.417834",25068,442,5
1542980846,2018-11-23T13:47:26Z,DLH1RP,"49.400345,11.446898",25975,462,7
1542980910,2018-11-23T13:48:30Z,DLH1RP,"49.535221,11.471205",25999,454,6
1542980974,2018-11-23T13:49:34Z,DLH1RP,"49.663734,11.492058",26000,431,5
1542981038,2018-11-23T13:50:38Z,DLH1RP,"49.788647,11.512237",26000,420,5
1542981102,2018-11-23T13:51:42Z,DLH1RP,"49.912891,11.533119",25999,436,5
1542981163,2018-11-23T13:52:43Z,DLH1RP,"50.034081,11.552616",25999,444,5
1542981226,2018-11-23T13:53:46Z,DLH1RP,"50.165646,11.574133",24888,446,5
1542981286,2018-11-23T13:54:46Z,DLH1RP,"50.285603,11.594285",23391,424,5
1542981350,2018-11-23T13:55:50Z,DLH1RP,"50.407074,11.613669",21810,408,3
1542981410,2018-11-23T13:56:50Z,DLH1RP,"50.517097,11.632799",20324,398,5
1542981479,2018-11-23T13:57:59Z,DLH1RP,"50.639637,11.658145",18327,386,9
1542981539,2018-11-23T13:58:59Z,DLH1RP,"50.74324,11.691181",15814,372,10
1542981574,2018-11-23T13:59:34Z,DLH1RP,"50.797142,11.708839",14456,368,11
1542981606,2018-11-23T14:00:06Z,DLH1RP,"50.85619,11.727035",12984,358,10
1542981638,2018-11-23T14:00:38Z,DLH1RP,"50.907715,11.742879",12179,340,10
1542981666,2018-11-23T14:01:06Z,DLH1RP,"50.949581,11.7555",11753,316,10
1542981680,2018-11-23T14:01:20Z,DLH1RP,"50.967327,11.760899",11559,314,10
1542981694,2018-11-23T14:01:34Z,DLH1RP,"50.988617,11.767384",11307,312,10
1542981706,2018-11-23T14:01:46Z,DLH1RP,"51.005314,11.772454",11035,306,10
1542981718,2018-11-23T14:01:58Z,DLH1RP,"51.01651,11.775898",10763,306,10
1542981730,2018-11-23T14:02:10Z,DLH1RP,"51.037987,11.782505",10210,292,10
1542981746,2018-11-23T14:02:26Z,DLH1RP,"51.05825,11.788969",9667,292,10
1542981758,2018-11-23T14:02:38Z,DLH1RP,"51.075592,11.794053",9242,290,10
1542981771,2018-11-23T14:02:51Z,DLH1RP,"51.090435,11.798509",8866,302,10
1542981783,2018-11-23T14:03:03Z,DLH1RP,"51.107475,11.803886",8452,302,10
1542981798,2018-11-23T14:03:18Z,DLH1RP,"51.12949,11.811219",7927,302,10
1542981812,2018-11-23T14:03:32Z,DLH1RP,"51.145058,11.81643",7608,302,10
1542981824,2018-11-23T14:03:44Z,DLH1RP,"51.160606,11.821482",7388,294,10
1542981839,2018-11-23T14:03:59Z,DLH1RP,"51.182941,11.828376",7090,288,10
1542981848,2018-11-23T14:04:08Z,DLH1RP,"51.194065,11.831743",6908,288,10
1542981864,2018-11-23T14:04:24Z,DLH1RP,"51.214741,11.837807",6504,288,10
1542981878,2018-11-23T14:04:38Z,DLH1RP,"51.235256,11.843807",6107,290,10
1542981894,2018-11-23T14:04:54Z,DLH1RP,"51.255577,11.849829",5833,434,10
1542981908,2018-11-23T14:05:08Z,DLH1RP,"51.2714,11.854527",5640,268,10
1542981922,2018-11-23T14:05:22Z,DLH1RP,"51.289776,11.859911",5394,268,10
1542981934,2018-11-23T14:05:34Z,DLH1RP,"51.305679,11.864645",5175,256,10
1542981951,2018-11-23T14:05:51Z,DLH1RP,"51.322945,11.869907",4922,250,10
1542981971,2018-11-23T14:06:11Z,DLH1RP,"51.346802,11.876922",4425,248,9
1542981978,2018-11-23T14:06:18Z,DLH1RP,"51.354019,11.87929",4250,248,10
1542981986,2018-11-23T14:06:26Z,DLH1RP,"51.364002,11.88246",4075,248,10
1542981998,2018-11-23T14:06:38Z,DLH1RP,"51.375942,11.886316",3766,242,10
1542982007,2018-11-23T14:06:47Z,DLH1RP,"51.38065,11.887881",3675,240,10
1542982024,2018-11-23T14:07:04Z,DLH1RP,"51.394436,11.894169",3306,244,12
1542982035,2018-11-23T14:07:15Z,DLH1RP,"51.406845,11.902471",3025,244,12
