Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,ANA93,180,"34.420624,135.23407",0,1525562287,2018-05-05Z
0,ANA93,320,"34.434895,135.247284",14,1525562252,2018-05-05Z
0,ANA93,281,"34.434364,135.248184",22,1525562226,2018-05-05Z
0,ANA93,50,"34.427208,135.243927",55,1525562130,2018-05-05Z
0,ANA93,51,"34.421375,135.235229",131,1525562108,2018-05-05Z
0,ANA93,50,"34.419189,135.231964",134,1525562101,2018-05-05Z
475,ANA93,50,"34.40062,135.204376",132,1525562055,2018-05-05Z
700,ANA93,50,"34.392334,135.191986",132,1525562031,2018-05-05Z
900,ANA93,53,"34.385441,135.181854",137,1525562015,2018-05-05Z
950,ANA93,53,"34.383671,135.179214",139,1525562009,2018-05-05Z
1125,ANA93,53,"34.379429,135.172867",142,1525562000,2018-05-05Z
1275,ANA93,51,"34.374851,135.166077",155,1525561990,2018-05-05Z
1400,ANA93,50,"34.370449,135.159531",159,1525561980,2018-05-05Z
1525,ANA93,53,"34.365742,135.152573",158,1525561970,2018-05-05Z
1675,ANA93,53,"34.360859,135.14534",163,1525561960,2018-05-05Z
1750,ANA93,53,"34.358528,135.141846",164,1525561954,2018-05-05Z
2000,ANA93,50,"34.35104,135.130661",177,1525561942,2018-05-05Z
2200,ANA93,51,"34.344181,135.120453",184,1525561928,2018-05-05Z
2375,ANA93,52,"34.33884,135.112503",184,1525561917,2018-05-05Z
2550,ANA93,52,"34.332958,135.103745",192,1525561907,2018-05-05Z
2700,ANA93,50,"34.327759,135.096069",202,1525561897,2018-05-05Z
2950,ANA93,50,"34.320011,135.084579",210,1525561887,2018-05-05Z
3125,ANA93,50,"34.314629,135.076553",211,1525561876,2018-05-05Z
3375,ANA93,51,"34.307739,135.066376",209,1525561865,2018-05-05Z
3525,ANA93,52,"34.301971,135.057785",209,1525561856,2018-05-05Z
3625,ANA93,52,"34.298538,135.052689",209,1525561850,2018-05-05Z
3725,ANA93,52,"34.294601,135.04686",213,1525561844,2018-05-05Z
3850,ANA93,50,"34.288101,135.037247",226,1525561834,2018-05-05Z
3900,ANA93,52,"34.28014,135.025558",234,1525561824,2018-05-05Z
4000,ANA93,51,"34.273861,135.016418",240,1525561813,2018-05-05Z
4175,ANA93,51,"34.266399,135.005447",242,1525561805,2018-05-05Z
4300,ANA93,49,"34.259838,134.995987",250,1525561794,2018-05-05Z
4500,ANA93,33,"34.24741,134.980835",250,1525561778,2018-05-05Z
4900,ANA93,337,"34.21999,134.97551",257,1525561755,2018-05-05Z
5050,ANA93,324,"34.212799,134.979828",254,1525561748,2018-05-05Z
5250,ANA93,320,"34.202068,134.989868",256,1525561737,2018-05-05Z
5450,ANA93,321,"34.191036,135.00058",260,1525561726,2018-05-05Z
5750,ANA93,321,"34.172321,135.017914",268,1525561705,2018-05-05Z
5925,ANA93,304,"34.162312,135.028809",262,1525561695,2018-05-05Z
6475,ANA93,259,"34.154629,135.063004",258,1525561670,2018-05-05Z
6900,ANA93,258,"34.158508,135.084473",257,1525561655,2018-05-05Z
7300,ANA93,259,"34.162312,135.104477",259,1525561639,2018-05-05Z
7650,ANA93,259,"34.166271,135.125763",262,1525561625,2018-05-05Z
7825,ANA93,259,"34.170502,135.148438",264,1525561610,2018-05-05Z
8000,ANA93,258,"34.17448,135.170181",265,1525561595,2018-05-05Z
8375,ANA93,258,"34.178471,135.191315",265,1525561580,2018-05-05Z
8750,ANA93,259,"34.18259,135.213333",268,1525561565,2018-05-05Z
9250,ANA93,259,"34.186661,135.235199",266,1525561550,2018-05-05Z
9700,ANA93,259,"34.190781,135.257507",266,1525561535,2018-05-05Z
9875,ANA93,259,"34.194901,135.279343",269,1525561520,2018-05-05Z
9900,ANA93,258,"34.19902,135.301559",271,1525561505,2018-05-05Z
9900,ANA93,258,"34.203091,135.323349",271,1525561490,2018-05-05Z
9900,ANA93,258,"34.207241,135.345383",271,1525561475,2018-05-05Z
9900,ANA93,259,"34.21003,135.360428",272,1525561464,2018-05-05Z
9900,ANA93,259,"34.21431,135.383286",274,1525561450,2018-05-05Z
9900,ANA93,259,"34.21838,135.405487",272,1525561436,2018-05-05Z
9900,ANA93,258,"34.221249,135.420624",271,1525561425,2018-05-05Z
9975,ANA93,259,"34.22525,135.442261",267,1525561410,2018-05-05Z
10250,ANA93,259,"34.229259,135.464233",270,1525561395,2018-05-05Z
10575,ANA93,259,"34.233398,135.48671",275,1525561380,2018-05-05Z
11050,ANA93,259,"34.237518,135.509354",272,1525561366,2018-05-05Z
11400,ANA93,259,"34.240261,135.524429",271,1525561355,2018-05-05Z
11775,ANA93,258,"34.244381,135.546799",281,1525561340,2018-05-05Z
12250,ANA93,257,"34.254822,135.603012",308,1525561305,2018-05-05Z
12900,ANA93,258,"34.266041,135.664108",331,1525561270,2018-05-05Z
13850,ANA93,258,"34.27803,135.729965",352,1525561235,2018-05-05Z
14600,ANA93,258,"34.290379,135.797775",357,1525561200,2018-05-05Z
15275,ANA93,258,"34.30312,135.867416",358,1525561165,2018-05-05Z
16000,ANA93,257,"34.31575,135.936462",368,1525561130,2018-05-05Z
16925,ANA93,257,"34.328609,136.00676",372,1525561095,2018-05-05Z
17975,ANA93,258,"34.34354,136.090622",385,1525561055,2018-05-05Z
18000,ANA93,256,"34.347221,136.111221",380,1525561045,2018-05-05Z
18325,ANA93,246,"34.38039,136.2099",380,1525560995,2018-05-05Z
19825,ANA93,245,"34.429138,136.340439",398,1525560930,2018-05-05Z
23500,ANA93,245,"34.475189,136.46376",397,1525560869,2018-05-05Z
25800,ANA93,246,"34.52536,136.598343",414,1525560804,2018-05-05Z
27425,ANA93,246,"34.577702,136.739441",420,1525560739,2018-05-05Z
28000,ANA93,246,"34.629978,136.881073",430,1525560674,2018-05-05Z
27975,ANA93,247,"34.682999,137.025497",425,1525560609,2018-05-05Z
28000,ANA93,247,"34.734921,137.167603",425,1525560544,2018-05-05Z
28025,ANA93,247,"34.786701,137.310165",425,1525560479,2018-05-05Z
28025,ANA93,245,"34.838581,137.452972",429,1525560414,2018-05-05Z
28000,ANA93,245,"34.84272,137.464203",430,1525560408,2018-05-05Z
28000,ANA93,258,"34.862644,137.531143",426,1525560379,2018-05-05Z
27975,ANA93,258,"34.886398,137.675903",426,1525560318,2018-05-05Z
28000,ANA93,258,"34.910801,137.825623",427,1525560254,2018-05-05Z
27975,ANA93,259,"34.935921,137.981354",428,1525560189,2018-05-05Z
28000,ANA93,259,"34.96027,138.133453",429,1525560124,2018-05-05Z
28050,ANA93,259,"34.983398,138.279144",431,1525560063,2018-05-05Z
28025,ANA93,259,"35.00592,138.422745",433,1525560002,2018-05-05Z
28000,ANA93,258,"35.031021,138.581207",432,1525559937,2018-05-05Z
28000,ANA93,261,"35.05508,138.733673",431,1525559872,2018-05-05Z
