Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
1825,AUA714C,91,"48.028976,16.607033",152,1529057924,2018-06-15Z
1850,AUA714C,350,"48.025993,16.607079",152,1529057905,2018-06-15Z
2050,AUA714C,350,"48.01355,16.611563",164,1529057898,2018-06-15Z
2149,AUA714C,347,"48.010078,16.612333",170,1529057885,2018-06-15Z
2325,AUA714C,347,"48.000439,16.616125",178,1529057876,2018-06-15Z
2425,AUA714C,336,"47.993702,16.617599",192,1529057864,2018-06-15Z
2575,AUA714C,336,"47.977646,16.628956",196,1529057856,2018-06-15Z
2575,AUA714C,336,"47.974022,16.631187",200,1529057841,2018-06-15Z
2550,AUA714C,327,"47.966805,16.635504",202,1529057834,2018-06-15Z
2525,AUA714C,321,"47.961319,16.640495",200,1529057828,2018-06-15Z
2575,AUA714C,321,"47.949642,16.655262",200,1529057821,2018-06-15Z
2764,AUA714C,323,"47.943295,16.662992",202,1529057802,2018-06-15Z
2925,AUA714C,313,"47.935772,16.67131",202,1529057789,2018-06-15Z
2925,AUA714C,313,"47.924179,16.686607",206,1529057780,2018-06-15Z
2975,AUA714C,313,"47.913494,16.700108",212,1529057766,2018-06-15Z
3200,AUA714C,313,"47.884029,16.746691",216,1529057753,2018-06-15Z
3344,AUA714C,310,"47.876011,16.759142",224,1529057705,2018-06-15Z
3550,AUA714C,310,"47.864658,16.778324",228,1529057696,2018-06-15Z
3675,AUA714C,309,"47.857742,16.790554",238,1529057681,2018-06-15Z
3825,AUA714C,309,"47.849819,16.805279",252,1529057668,2018-06-15Z
3982,AUA714C,310,"47.841003,16.821568",254,1529057657,2018-06-15Z
4125,AUA714C,310,"47.834263,16.833963",260,1529057650,2018-06-15Z
4250,AUA714C,310,"47.828983,16.843632",266,1529057641,2018-06-15Z
4440,AUA714C,310,"47.819473,16.860785",266,1529057628,2018-06-15Z
4575,AUA714C,311,"47.812748,16.872797",266,1529057620,2018-06-15Z
4699,AUA714C,311,"47.806511,16.883661",268,1529057612,2018-06-15Z
4909,AUA714C,312,"47.796661,16.900753",268,1529057605,2018-06-15Z
5246,AUA714C,312,"47.780499,16.928335",268,1529057590,2018-06-15Z
5325,AUA714C,312,"47.776531,16.93478",268,1529057577,2018-06-15Z
5575,AUA714C,314,"47.764,16.955853",270,1529057565,2018-06-15Z
5925,AUA714C,315,"47.746719,16.983553",272,1529057546,2018-06-15Z
