Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,TVF47SQ,255,"48.721687,2.37086",34,1536748889,2018-09-12Z
0,TVF47SQ,255,"48.722992,2.377998",105,1536748874,2018-09-12Z
0,TVF47SQ,255,"48.723831,2.382515",130,1536748866,2018-09-12Z
100,TVF47SQ,254,"48.726692,2.397983",153,1536748852,2018-09-12Z
250,TVF47SQ,254,"48.728882,2.409981",153,1536748842,2018-09-12Z
325,TVF47SQ,254,"48.73,2.416197",152,1536748835,2018-09-12Z
400,TVF47SQ,254,"48.731163,2.422341",152,1536748828,2018-09-12Z
575,TVF47SQ,254,"48.733383,2.434528",152,1536748817,2018-09-12Z
650,TVF47SQ,254,"48.734608,2.440844",153,1536748811,2018-09-12Z
725,TVF47SQ,254,"48.735718,2.446852",154,1536748805,2018-09-12Z
825,TVF47SQ,254,"48.736816,2.45312",154,1536748799,2018-09-12Z
900,TVF47SQ,254,"48.737961,2.459318",155,1536748793,2018-09-12Z
975,TVF47SQ,254,"48.739105,2.465656",155,1536748786,2018-09-12Z
1125,TVF47SQ,254,"48.741486,2.478685",156,1536748776,2018-09-12Z
1225,TVF47SQ,254,"48.742722,2.484952",156,1536748769,2018-09-12Z
1325,TVF47SQ,255,"48.744102,2.49274",156,1536748762,2018-09-12Z
1475,TVF47SQ,254,"48.746105,2.503726",157,1536748752,2018-09-12Z
1550,TVF47SQ,254,"48.747223,2.510087",162,1536748744,2018-09-12Z
1650,TVF47SQ,253,"48.748432,2.516664",167,1536748738,2018-09-12Z
1825,TVF47SQ,255,"48.751099,2.530658",172,1536748728,2018-09-12Z
1925,TVF47SQ,255,"48.752342,2.537914",170,1536748720,2018-09-12Z
2100,TVF47SQ,254,"48.754807,2.551293",167,1536748710,2018-09-12Z
2175,TVF47SQ,255,"48.756042,2.558054",168,1536748703,2018-09-12Z
2350,TVF47SQ,253,"48.758377,2.571153",164,1536748692,2018-09-12Z
2450,TVF47SQ,254,"48.75975,2.578266",163,1536748686,2018-09-12Z
3000,TVF47SQ,254,"48.767761,2.622282",168,1536748645,2018-09-12Z
3225,TVF47SQ,254,"48.770313,2.636574",166,1536748632,2018-09-12Z
3350,TVF47SQ,254,"48.772339,2.647494",164,1536748622,2018-09-12Z
3450,TVF47SQ,255,"48.774643,2.660065",162,1536748613,2018-09-12Z
3500,TVF47SQ,254,"48.777016,2.673292",164,1536748599,2018-09-12Z
3600,TVF47SQ,254,"48.779434,2.686862",165,1536748587,2018-09-12Z
3650,TVF47SQ,254,"48.781204,2.696493",166,1536748578,2018-09-12Z
3725,TVF47SQ,254,"48.782696,2.704516",164,1536748572,2018-09-12Z
3800,TVF47SQ,254,"48.784,2.711672",164,1536748565,2018-09-12Z
4000,TVF47SQ,253,"48.786793,2.726633",163,1536748553,2018-09-12Z
4175,TVF47SQ,253,"48.789322,2.73961",164,1536748540,2018-09-12Z
4425,TVF47SQ,254,"48.792068,2.754258",164,1536748525,2018-09-12Z
4575,TVF47SQ,257,"48.794266,2.766794",167,1536748515,2018-09-12Z
4700,TVF47SQ,262,"48.796097,2.780738",174,1536748504,2018-09-12Z
4750,TVF47SQ,262,"48.796783,2.788555",179,1536748496,2018-09-12Z
4850,TVF47SQ,270,"48.798336,2.814885",200,1536748476,2018-09-12Z
4875,TVF47SQ,294,"48.797405,2.827895",213,1536748469,2018-09-12Z
5100,TVF47SQ,304,"48.784233,2.860204",228,1536748443,2018-09-12Z
5275,TVF47SQ,304,"48.776047,2.878559",231,1536748428,2018-09-12Z
5475,TVF47SQ,304,"48.769043,2.894123",232,1536748417,2018-09-12Z
5750,TVF47SQ,304,"48.760986,2.911799",232,1536748404,2018-09-12Z
5975,TVF47SQ,304,"48.753506,2.928073",232,1536748391,2018-09-12Z
6125,TVF47SQ,301,"48.748108,2.939927",232,1536748382,2018-09-12Z
6575,TVF47SQ,258,"48.741989,2.973562",225,1536748362,2018-09-12Z
6750,TVF47SQ,241,"48.744476,2.986474",225,1536748351,2018-09-12Z
7075,TVF47SQ,223,"48.75325,3.003493",224,1536748337,2018-09-12Z
7350,TVF47SQ,223,"48.762676,3.01712",223,1536748325,2018-09-12Z
7625,TVF47SQ,223,"48.77298,3.032156",224,1536748312,2018-09-12Z
7825,TVF47SQ,223,"48.780602,3.043285",224,1536748301,2018-09-12Z
8075,TVF47SQ,223,"48.789734,3.056594",224,1536748290,2018-09-12Z
8275,TVF47SQ,224,"48.798847,3.070028",226,1536748277,2018-09-12Z
8450,TVF47SQ,224,"48.80777,3.083214",229,1536748265,2018-09-12Z
8625,TVF47SQ,224,"48.816772,3.096555",233,1536748255,2018-09-12Z
8825,TVF47SQ,224,"48.827728,3.112723",235,1536748239,2018-09-12Z
8950,TVF47SQ,224,"48.835999,3.12496",235,1536748229,2018-09-12Z
9150,TVF47SQ,223,"48.84874,3.143569",236,1536748213,2018-09-12Z
9275,TVF47SQ,224,"48.857365,3.156184",236,1536748201,2018-09-12Z
9425,TVF47SQ,224,"48.868881,3.173147",238,1536748187,2018-09-12Z
9525,TVF47SQ,223,"48.878082,3.186669",241,1536748175,2018-09-12Z
9625,TVF47SQ,224,"48.887695,3.200754",241,1536748162,2018-09-12Z
9775,TVF47SQ,224,"48.897491,3.215236",241,1536748152,2018-09-12Z
9975,TVF47SQ,224,"48.907471,3.230262",240,1536748139,2018-09-12Z
10000,TVF47SQ,224,"48.916306,3.243502",240,1536748127,2018-09-12Z
10000,TVF47SQ,224,"48.92654,3.258964",239,1536748114,2018-09-12Z
10000,TVF47SQ,224,"48.935944,3.273203",239,1536748102,2018-09-12Z
10000,TVF47SQ,224,"48.944595,3.28618",239,1536748092,2018-09-12Z
10000,TVF47SQ,224,"48.955215,3.302237",237,1536748077,2018-09-12Z
9975,TVF47SQ,224,"48.963364,3.31442",237,1536748068,2018-09-12Z
10000,TVF47SQ,224,"48.972954,3.328713",240,1536748055,2018-09-12Z
10150,TVF47SQ,224,"48.982452,3.342952",240,1536748045,2018-09-12Z
10300,TVF47SQ,224,"48.991993,3.357118",239,1536748030,2018-09-12Z
10450,TVF47SQ,224,"49.002094,3.372225",240,1536748018,2018-09-12Z
10575,TVF47SQ,225,"49.011593,3.386463",241,1536748006,2018-09-12Z
10775,TVF47SQ,224,"49.024208,3.405762",239,1536747990,2018-09-12Z
10975,TVF47SQ,224,"49.033287,3.419567",241,1536747978,2018-09-12Z
11000,TVF47SQ,224,"49.046722,3.439847",241,1536747961,2018-09-12Z
11000,TVF47SQ,224,"49.056423,3.454477",241,1536747951,2018-09-12Z
11000,TVF47SQ,224,"49.066681,3.47006",241,1536747936,2018-09-12Z
11000,TVF47SQ,224,"49.076797,3.485413",241,1536747923,2018-09-12Z
11000,TVF47SQ,224,"49.085037,3.497878",241,1536747913,2018-09-12Z
11000,TVF47SQ,224,"49.094036,3.511505",240,1536747902,2018-09-12Z
11000,TVF47SQ,224,"49.103859,3.52625",240,1536747891,2018-09-12Z
11000,TVF47SQ,225,"49.118382,3.54815",240,1536747871,2018-09-12Z
11000,TVF47SQ,225,"49.124947,3.558269",241,1536747863,2018-09-12Z
11000,TVF47SQ,221,"49.130173,3.56612",241,1536747856,2018-09-12Z
11000,TVF47SQ,217,"49.135208,3.57281",242,1536747850,2018-09-12Z
11000,TVF47SQ,209,"49.143753,3.582121",242,1536747840,2018-09-12Z
11000,TVF47SQ,207,"49.155857,3.592385",242,1536747828,2018-09-12Z
11000,TVF47SQ,207,"49.167938,3.602107",242,1536747816,2018-09-12Z
11000,TVF47SQ,207,"49.178528,3.610599",245,1536747805,2018-09-12Z
11000,TVF47SQ,207,"49.190872,3.620418",250,1536747793,2018-09-12Z
10975,TVF47SQ,207,"49.212093,3.637486",269,1536747772,2018-09-12Z
11000,TVF47SQ,207,"49.230606,3.652391",274,1536747757,2018-09-12Z
11000,TVF47SQ,208,"49.245659,3.664519",275,1536747743,2018-09-12Z
11000,TVF47SQ,207,"49.254456,3.671687",276,1536747735,2018-09-12Z
11000,TVF47SQ,203,"49.261532,3.677023",277,1536747728,2018-09-12Z
11000,TVF47SQ,195,"49.275822,3.685696",279,1536747716,2018-09-12Z
11000,TVF47SQ,194,"49.290768,3.691984",280,1536747705,2018-09-12Z
11000,TVF47SQ,194,"49.306828,3.698417",281,1536747693,2018-09-12Z
11000,TVF47SQ,194,"49.320885,3.704055",282,1536747681,2018-09-12Z
10975,TVF47SQ,194,"49.336063,3.710054",286,1536747668,2018-09-12Z
10975,TVF47SQ,194,"49.351608,3.716198",295,1536747657,2018-09-12Z
10975,TVF47SQ,194,"49.367764,3.722631",309,1536747644,2018-09-12Z
11000,TVF47SQ,194,"49.385639,3.729786",315,1536747632,2018-09-12Z
11175,TVF47SQ,194,"49.401718,3.736197",315,1536747620,2018-09-12Z
11375,TVF47SQ,194,"49.419205,3.743239",315,1536747608,2018-09-12Z
11600,TVF47SQ,194,"49.436939,3.750421",314,1536747595,2018-09-12Z
11775,TVF47SQ,194,"49.452721,3.756805",316,1536747584,2018-09-12Z
11975,TVF47SQ,194,"49.470016,3.763757",319,1536747572,2018-09-12Z
12525,TVF47SQ,194,"49.517624,3.782911",322,1536747540,2018-09-12Z
13125,TVF47SQ,194,"49.565094,3.802065",325,1536747506,2018-09-12Z
13950,TVF47SQ,194,"49.614166,3.821832",333,1536747473,2018-09-12Z
14775,TVF47SQ,194,"49.663605,3.841962",337,1536747439,2018-09-12Z
15550,TVF47SQ,194,"49.710251,3.860899",341,1536747408,2018-09-12Z
16375,TVF47SQ,194,"49.760616,3.881292",343,1536747376,2018-09-12Z
18775,TVF47SQ,194,"49.912518,3.943572",352,1536747278,2018-09-12Z
19050,TVF47SQ,194,"49.937393,3.953777",352,1536747263,2018-09-12Z
20325,TVF47SQ,195,"50.075588,4.01075",354,1536747190,2018-09-12Z
21325,TVF47SQ,194,"50.152077,4.042449",359,1536747127,2018-09-12Z
22425,TVF47SQ,189,"50.250046,4.082505",385,1536747068,2018-09-12Z
22550,TVF47SQ,188,"50.261215,4.085685",387,1536747061,2018-09-12Z
23000,TVF47SQ,176,"50.312962,4.09033",401,1536747034,2018-09-12Z
23000,TVF47SQ,175,"50.44973,4.07556",402,1536746964,2018-09-12Z
23000,TVF47SQ,176,"50.565441,4.06234",400,1536746899,2018-09-12Z
23000,TVF47SQ,176,"50.687569,4.04877",400,1536746834,2018-09-12Z
23000,TVF47SQ,176,"50.813541,4.03534",405,1536746769,2018-09-12Z
23000,TVF47SQ,180,"50.848942,4.03191",402,1536746749,2018-09-12Z
23000,TVF47SQ,187,"50.867439,4.03313",406,1536746739,2018-09-12Z
23000,TVF47SQ,194,"50.88702,4.03792",401,1536746729,2018-09-12Z
23000,TVF47SQ,203,"51.003391,4.11141",386,1536746664,2018-09-12Z
23000,TVF47SQ,203,"51.105381,4.18059",382,1536746602,2018-09-12Z
23000,TVF47SQ,203,"51.204479,4.248",388,1536746539,2018-09-12Z
23000,TVF47SQ,203,"51.310669,4.32076",386,1536746474,2018-09-12Z
23000,TVF47SQ,203,"51.421001,4.39705",383,1536746409,2018-09-12Z
23000,TVF47SQ,203,"51.52235,4.46743",385,1536746344,2018-09-12Z
23025,TVF47SQ,203,"51.631371,4.5417",370,1536746279,2018-09-12Z
21000,TVF47SQ,205,"51.729172,4.61567",359,1536746214,2018-09-12Z
18100,TVF47SQ,206,"51.826889,4.69124",341,1536746149,2018-09-12Z
16575,TVF47SQ,205,"51.875431,4.72917",341,1536746114,2018-09-12Z
14825,TVF47SQ,206,"51.92572,4.76822",325,1536746079,2018-09-12Z
12750,TVF47SQ,205,"51.981758,4.81138",324,1536746039,2018-09-12Z
12225,TVF47SQ,205,"51.994751,4.82151",318,1536746029,2018-09-12Z
11850,TVF47SQ,199,"52.006531,4.83002",326,1536746019,2018-09-12Z
11500,TVF47SQ,192,"52.020901,4.83734",315,1536746009,2018-09-12Z
11275,TVF47SQ,182,"52.043011,4.84261",303,1536745994,2018-09-12Z
11025,TVF47SQ,181,"52.063976,4.843323",285,1536745979,2018-09-12Z
10800,TVF47SQ,182,"52.080826,4.844055",261,1536745967,2018-09-12Z
10550,TVF47SQ,180,"52.098377,4.844814",244,1536745952,2018-09-12Z
9700,TVF47SQ,179,"52.120605,4.8452",241,1536745931,2018-09-12Z
7725,TVF47SQ,181,"52.161896,4.845505",240,1536745894,2018-09-12Z
7025,TVF47SQ,181,"52.179241,4.846305",232,1536745878,2018-09-12Z
6000,TVF47SQ,178,"52.20108,4.846878",228,1536745858,2018-09-12Z
