Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,EZY21AP,168,"52.310108,4.753151",14,1537116614,2018-09-16Z
0,EZY21AP,239,"52.31044,4.753437",26,1537116598,2018-09-16Z
0,EZY21AP,115,"52.314194,4.754432",25,1537116528,2018-09-16Z
0,EZY21AP,84,"52.314228,4.753765",34,1537116521,2018-09-16Z
0,EZY21AP,84,"52.314228,4.753361",16,1537116515,2018-09-16Z
0,EZY21AP,87,"52.314137,4.750729",19,1537116498,2018-09-16Z
0,EZY21AP,87,"52.314011,4.745941",21,1537116467,2018-09-16Z
0,EZY21AP,87,"52.313976,4.744987",21,1537116460,2018-09-16Z
0,EZY21AP,87,"52.313938,4.744034",19,1537116454,2018-09-16Z
0,EZY21AP,87,"52.313919,4.743195",16,1537116448,2018-09-16Z
0,EZY21AP,87,"52.313896,4.74247",31,1537116442,2018-09-16Z
0,EZY21AP,109,"52.313881,4.741915",30,1537116436,2018-09-16Z
0,EZY21AP,168,"52.314545,4.741366",18,1537116424,2018-09-16Z
0,EZY21AP,154,"52.315033,4.74113",22,1537116418,2018-09-16Z
0,EZY21AP,151,"52.31572,4.740581",31,1537116412,2018-09-16Z
0,EZY21AP,151,"52.316475,4.739973",37,1537116406,2018-09-16Z
0,EZY21AP,174,"52.318062,4.738941",47,1537116399,2018-09-16Z
0,EZY21AP,182,"52.319309,4.738922",53,1537116393,2018-09-16Z
0,EZY21AP,182,"52.320934,4.739075",63,1537116387,2018-09-16Z
0,EZY21AP,182,"52.32394,4.73935",105,1537116378,2018-09-16Z
0,EZY21AP,183,"52.335892,4.74044",128,1537116357,2018-09-16Z
125,EZY21AP,183,"52.34409,4.74121",118,1537116347,2018-09-16Z
200,EZY21AP,183,"52.348339,4.74159",118,1537116337,2018-09-16Z
250,EZY21AP,183,"52.350971,4.74178",118,1537116331,2018-09-16Z
475,EZY21AP,183,"52.36203,4.74281",118,1537116311,2018-09-16Z
600,EZY21AP,183,"52.369492,4.7435",127,1537116302,2018-09-16Z
750,EZY21AP,183,"52.377232,4.74419",129,1537116287,2018-09-16Z
875,EZY21AP,183,"52.382999,4.74472",131,1537116277,2018-09-16Z
950,EZY21AP,183,"52.388451,4.74523",134,1537116267,2018-09-16Z
1075,EZY21AP,184,"52.395199,4.74586",127,1537116257,2018-09-16Z
1225,EZY21AP,183,"52.401199,4.74641",128,1537116247,2018-09-16Z
1350,EZY21AP,183,"52.407391,4.74701",132,1537116236,2018-09-16Z
1450,EZY21AP,183,"52.414188,4.74758",144,1537116226,2018-09-16Z
1575,EZY21AP,183,"52.421398,4.74829",160,1537116217,2018-09-16Z
1700,EZY21AP,183,"52.42955,4.74907",161,1537116207,2018-09-16Z
1850,EZY21AP,183,"52.436508,4.74968",164,1537116197,2018-09-16Z
2025,EZY21AP,183,"52.44463,4.75049",166,1537116187,2018-09-16Z
2200,EZY21AP,183,"52.452728,4.75119",166,1537116177,2018-09-16Z
2375,EZY21AP,183,"52.460949,4.75189",165,1537116167,2018-09-16Z
2525,EZY21AP,183,"52.46875,4.75261",165,1537116156,2018-09-16Z
2650,EZY21AP,183,"52.476608,4.75334",164,1537116146,2018-09-16Z
2800,EZY21AP,184,"52.48476,4.75418",164,1537116136,2018-09-16Z
2875,EZY21AP,185,"52.493511,4.75528",162,1537116126,2018-09-16Z
2875,EZY21AP,187,"52.500961,4.75655",164,1537116116,2018-09-16Z
2875,EZY21AP,189,"52.50819,4.75822",165,1537116107,2018-09-16Z
2900,EZY21AP,195,"52.516392,4.76074",167,1537116097,2018-09-16Z
2900,EZY21AP,209,"52.523708,4.76486",171,1537116087,2018-09-16Z
2875,EZY21AP,215,"52.531029,4.7723",179,1537116077,2018-09-16Z
2875,EZY21AP,213,"52.53429,4.77585",191,1537116071,2018-09-16Z
2850,EZY21AP,215,"52.542068,4.78447",195,1537116061,2018-09-16Z
2875,EZY21AP,217,"52.54966,4.79318",205,1537116052,2018-09-16Z
2875,EZY21AP,230,"52.55687,4.8033",205,1537116042,2018-09-16Z
2850,EZY21AP,255,"52.56181,4.81656",205,1537116032,2018-09-16Z
2875,EZY21AP,268,"52.563499,4.8345",210,1537116023,2018-09-16Z
2875,EZY21AP,268,"52.563702,4.8521",208,1537116012,2018-09-16Z
2875,EZY21AP,268,"52.563801,4.8638",207,1537116006,2018-09-16Z
2875,EZY21AP,268,"52.563999,4.8782",209,1537115996,2018-09-16Z
2875,EZY21AP,268,"52.564201,4.889",210,1537115990,2018-09-16Z
2875,EZY21AP,267,"52.564499,4.9043",212,1537115979,2018-09-16Z
2875,EZY21AP,270,"52.5653,4.9492",238,1537115955,2018-09-16Z
2850,EZY21AP,271,"52.5653,4.9584",242,1537115947,2018-09-16Z
2850,EZY21AP,275,"52.564999,4.9695",248,1537115941,2018-09-16Z
2875,EZY21AP,282,"52.563999,4.981",251,1537115935,2018-09-16Z
