Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547997480,2019-01-20T15:18:00Z,EZY68XA,"48.120235,16.555956",0,10,115
1547997492,2019-01-20T15:18:12Z,EZY68XA,"48.120289,16.555727",0,10,123
1547997504,2019-01-20T15:18:24Z,EZY68XA,"48.120358,16.55547",0,10,163
1547997615,2019-01-20T15:20:15Z,EZY68XA,"48.120396,16.555252",0,0,212
1547997649,2019-01-20T15:20:49Z,EZY68XA,"48.120094,16.555023",0,15,205
1547997662,2019-01-20T15:21:02Z,EZY68XA,"48.119743,16.55476",0,19,205
1547997687,2019-01-20T15:21:27Z,EZY68XA,"48.118813,16.554319",0,30,188
1547997698,2019-01-20T15:21:38Z,EZY68XA,"48.11816,16.554354",0,31,151
1547997705,2019-01-20T15:21:45Z,EZY68XA,"48.117851,16.555058",0,31,115
1547997711,2019-01-20T15:21:51Z,EZY68XA,"48.117672,16.555605",0,31,115
1547997717,2019-01-20T15:21:57Z,EZY68XA,"48.117523,16.556044",0,32,115
1547997727,2019-01-20T15:22:07Z,EZY68XA,"48.117268,16.55686",0,33,115
1547997738,2019-01-20T15:22:18Z,EZY68XA,"48.116859,16.558086",0,17,115
1547997745,2019-01-20T15:22:25Z,EZY68XA,"48.116684,16.558651",0,19,115
1547997751,2019-01-20T15:22:31Z,EZY68XA,"48.116409,16.559504",0,20,115
1547997763,2019-01-20T15:22:43Z,EZY68XA,"48.115822,16.561291",0,24,115
1547997779,2019-01-20T15:22:59Z,EZY68XA,"48.115078,16.563562",0,24,115
1547997787,2019-01-20T15:23:07Z,EZY68XA,"48.114647,16.564859",0,24,115
1547997797,2019-01-20T15:23:17Z,EZY68XA,"48.114178,16.566319",0,24,115
1547997807,2019-01-20T15:23:27Z,EZY68XA,"48.11375,16.567595",0,32,123
1547997815,2019-01-20T15:23:35Z,EZY68XA,"48.113415,16.567823",0,32,177
1547997829,2019-01-20T15:23:49Z,EZY68XA,"48.112965,16.566507",0,17,267
1547997835,2019-01-20T15:23:55Z,EZY68XA,"48.11293,16.565821",0,18,264
1547997841,2019-01-20T15:24:01Z,EZY68XA,"48.112831,16.564848",0,22,261
1547997847,2019-01-20T15:24:07Z,EZY68XA,"48.112873,16.563847",0,27,284
1547997858,2019-01-20T15:24:18Z,EZY68XA,"48.113659,16.561449",0,57,295
1547997868,2019-01-20T15:24:28Z,EZY68XA,"48.115845,16.554741",0,115,295
1547997886,2019-01-20T15:24:46Z,EZY68XA,"48.121189,16.538298",925,148,295
1547997892,2019-01-20T15:24:52Z,EZY68XA,"48.122955,16.532734",1200,149,295
1547997902,2019-01-20T15:25:02Z,EZY68XA,"48.124725,16.524212",1650,149,278
1547997925,2019-01-20T15:25:25Z,EZY68XA,"48.121445,16.4981",2425,176,255
1547997931,2019-01-20T15:25:31Z,EZY68XA,"48.120209,16.490822",2550,182,255
1547997938,2019-01-20T15:25:38Z,EZY68XA,"48.118286,16.479561",2725,196,256
1547997944,2019-01-20T15:25:44Z,EZY68XA,"48.117462,16.471596",2825,204,262
1547997970,2019-01-20T15:26:10Z,EZY68XA,"48.12035,16.43611",4125,210,279
1547997976,2019-01-20T15:26:16Z,EZY68XA,"48.121262,16.427856",4475,210,279
1547997991,2019-01-20T15:26:31Z,EZY68XA,"48.123505,16.405952",5325,212,278
1547998003,2019-01-20T15:26:43Z,EZY68XA,"48.125153,16.388649",6050,211,278
1547998014,2019-01-20T15:26:54Z,EZY68XA,"48.126846,16.371071",6725,213,278
1547998026,2019-01-20T15:27:06Z,EZY68XA,"48.12859,16.352657",7100,228,278
1547998039,2019-01-20T15:27:19Z,EZY68XA,"48.1306,16.332825",7400,244,278
1547998052,2019-01-20T15:27:32Z,EZY68XA,"48.132706,16.312225",7825,256,278
1547998063,2019-01-20T15:27:43Z,EZY68XA,"48.134949,16.290596",8425,262,278
1547998075,2019-01-20T15:27:55Z,EZY68XA,"48.137146,16.269104",9075,264,278
1547998088,2019-01-20T15:28:08Z,EZY68XA,"48.139297,16.247406",9725,266,278
1547998101,2019-01-20T15:28:21Z,EZY68XA,"48.142776,16.225708",10200,274,288
1547998108,2019-01-20T15:28:28Z,EZY68XA,"48.148224,16.210396",10400,284,302
1547998114,2019-01-20T15:28:34Z,EZY68XA,"48.153488,16.201332",10525,289,310
1547998123,2019-01-20T15:28:43Z,EZY68XA,"48.16341,16.190306",10700,305,329
1547998129,2019-01-20T15:28:49Z,EZY68XA,"48.169697,16.18539",10875,310,333
1547998135,2019-01-20T15:28:55Z,EZY68XA,"48.179077,16.178637",11125,313,334
1547998141,2019-01-20T15:29:01Z,EZY68XA,"48.186951,16.173002",11375,316,334
1547998147,2019-01-20T15:29:07Z,EZY68XA,"48.194321,16.167789",11625,319,334
1547998163,2019-01-20T15:29:23Z,EZY68XA,"48.215652,16.152649",12250,326,334
1547998195,2019-01-20T15:29:55Z,EZY68XA,"48.260239,16.12005",13875,331,333
1547998228,2019-01-20T15:30:28Z,EZY68XA,"48.306793,16.085182",15400,338,333
1547998261,2019-01-20T15:31:01Z,EZY68XA,"48.353348,16.050322",16975,340,333
1547998294,2019-01-20T15:31:34Z,EZY68XA,"48.40004,16.01532",18300,348,333
1547998361,2019-01-20T15:32:41Z,EZY68XA,"48.49789,15.942174",20825,361,333
1547998408,2019-01-20T15:33:28Z,EZY68XA,"48.569115,15.884062",22500,367,321
1547998416,2019-01-20T15:33:36Z,EZY68XA,"48.576508,15.872779",22675,367,312
1547998424,2019-01-20T15:33:44Z,EZY68XA,"48.585266,15.855223",22925,369,304
1547998432,2019-01-20T15:33:52Z,EZY68XA,"48.594021,15.835491",23150,373,303
1547998438,2019-01-20T15:33:58Z,EZY68XA,"48.599167,15.823833",23275,375,303
1547998504,2019-01-20T15:35:04Z,EZY68XA,"48.661972,15.683406",25150,386,304
1547998563,2019-01-20T15:36:03Z,EZY68XA,"48.726059,15.538611",25675,424,302
1547998627,2019-01-20T15:37:07Z,EZY68XA,"48.793259,15.372338",26750,439,301
1547998692,2019-01-20T15:38:12Z,EZY68XA,"48.861557,15.204726",28075,445,301
1547998757,2019-01-20T15:39:17Z,EZY68XA,"48.932407,15.037826",29825,440,308
1547998821,2019-01-20T15:40:21Z,EZY68XA,"49.017784,14.893125",31900,428,312
1547998884,2019-01-20T15:41:24Z,EZY68XA,"49.097351,14.756751",33025,406,311
1547998946,2019-01-20T15:42:26Z,EZY68XA,"49.176945,14.613262",33550,424,309
1547999008,2019-01-20T15:43:28Z,EZY68XA,"49.253677,14.4716",34425,433,309
1547999070,2019-01-20T15:44:30Z,EZY68XA,"49.336578,14.318848",35200,441,309
1547999134,2019-01-20T15:45:34Z,EZY68XA,"49.41748,14.168966",36250,439,309
1547999197,2019-01-20T15:46:37Z,EZY68XA,"49.498718,14.017398",37150,439,309
1547999261,2019-01-20T15:47:41Z,EZY68XA,"49.579857,13.865562",37975,435,309
1547999324,2019-01-20T15:48:44Z,EZY68XA,"49.660126,13.714407",38000,434,309
1547999398,2019-01-20T15:49:58Z,EZY68XA,"49.754425,13.535445",38000,433,309
1547999461,2019-01-20T15:51:01Z,EZY68XA,"49.834263,13.38298",38000,436,309
1547999527,2019-01-20T15:52:07Z,EZY68XA,"49.917435,13.223203",38000,438,308
1547999589,2019-01-20T15:53:09Z,EZY68XA,"49.995941,13.071418",38025,438,308
1547999655,2019-01-20T15:54:15Z,EZY68XA,"50.078018,12.911827",38000,437,308
1547999713,2019-01-20T15:55:13Z,EZY68XA,"50.152821,12.764926",37975,440,307
1547999778,2019-01-20T15:56:18Z,EZY68XA,"50.222488,12.593946",38000,442,301
1547999841,2019-01-20T15:57:21Z,EZY68XA,"50.290695,12.421634",38000,442,301
1547999902,2019-01-20T15:58:22Z,EZY68XA,"50.356255,12.254135",38000,443,301
1548000065,2019-01-20T16:01:05Z,EZY68XA,"50.526402,11.813866",38000,441,300
1548000133,2019-01-20T16:02:13Z,EZY68XA,"50.597214,11.628594",38000,440,300
1548000194,2019-01-20T16:03:14Z,EZY68XA,"50.663269,11.454693",38000,439,300
1548000258,2019-01-20T16:04:18Z,EZY68XA,"50.728859,11.28006",38000,441,300
1548000321,2019-01-20T16:05:21Z,EZY68XA,"50.793427,11.107483",38000,441,300
1548000376,2019-01-20T16:06:16Z,EZY68XA,"50.851151,10.952454",38000,441,300
1548000471,2019-01-20T16:07:51Z,EZY68XA,"50.94854,10.688934",38000,445,300
1548000535,2019-01-20T16:08:55Z,EZY68XA,"51.013596,10.511095",38025,443,299
1548000596,2019-01-20T16:09:56Z,EZY68XA,"51.077488,10.335236",38000,443,299
1548000660,2019-01-20T16:11:00Z,EZY68XA,"51.140472,10.16037",38000,442,299
1548000724,2019-01-20T16:12:04Z,EZY68XA,"51.206345,9.976349",38000,441,299
1548000786,2019-01-20T16:13:06Z,EZY68XA,"51.268753,9.800547",38000,438,299
1548000852,2019-01-20T16:14:12Z,EZY68XA,"51.331787,9.621797",38000,437,299
1548000913,2019-01-20T16:15:13Z,EZY68XA,"51.393486,9.446564",37975,437,299
1548000976,2019-01-20T16:16:16Z,EZY68XA,"51.456665,9.265112",38000,439,299
1548001039,2019-01-20T16:17:19Z,EZY68XA,"51.517136,9.090221",38025,437,298
1548001103,2019-01-20T16:18:23Z,EZY68XA,"51.579369,8.909073",38000,438,298
1548001163,2019-01-20T16:19:23Z,EZY68XA,"51.638489,8.735467",38000,440,298
1548001226,2019-01-20T16:20:26Z,EZY68XA,"51.700077,8.553848",38025,441,298
1548001291,2019-01-20T16:21:31Z,EZY68XA,"51.761574,8.371048",38025,438,298
1548001353,2019-01-20T16:22:33Z,EZY68XA,"51.822464,8.188452",38000,435,298
1548001419,2019-01-20T16:23:39Z,EZY68XA,"51.884354,8.000868",37975,436,298
1548001481,2019-01-20T16:24:41Z,EZY68XA,"51.940933,7.828674",38000,438,298
1548001544,2019-01-20T16:25:44Z,EZY68XA,"52.004841,7.63336",37950,437,298
1548001609,2019-01-20T16:26:49Z,EZY68XA,"52.064579,7.44797",36625,440,298
1548001674,2019-01-20T16:27:54Z,EZY68XA,"52.125961,7.25754",33825,433,298
1548001735,2019-01-20T16:28:55Z,EZY68XA,"52.182541,7.08015",30300,457,298
1548001799,2019-01-20T16:29:59Z,EZY68XA,"52.23148,6.87805",28050,446,290
1548001864,2019-01-20T16:31:04Z,EZY68XA,"52.277111,6.67015",25625,430,290
1548001929,2019-01-20T16:32:09Z,EZY68XA,"52.318432,6.47958",22325,418,290
