Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551431905,2019-03-01T09:18:25Z,VLG2XN,"41.289734,2.080322",0,11,320
1551431928,2019-03-01T09:18:48Z,VLG2XN,"41.289509,2.080489",0,10,270
1551431945,2019-03-01T09:19:05Z,VLG2XN,"41.289497,2.080708",0,2,244
1551431962,2019-03-01T09:19:22Z,VLG2XN,"41.289623,2.080395",0,0,219
1551432036,2019-03-01T09:20:36Z,VLG2XN,"41.289543,2.080645",0,0,333
1551432082,2019-03-01T09:21:22Z,VLG2XN,"41.289368,2.080292",0,21,244
1551432096,2019-03-01T09:21:36Z,VLG2XN,"41.289093,2.079483",0,27,244
1551432104,2019-03-01T09:21:44Z,VLG2XN,"41.288971,2.0791",0,29,247
1551432111,2019-03-01T09:21:51Z,VLG2XN,"41.288692,2.078598",0,30,219
1551432121,2019-03-01T09:22:01Z,VLG2XN,"41.28817,2.07871",0,34,151
1551432127,2019-03-01T09:22:07Z,VLG2XN,"41.287777,2.078934",0,34,154
1551432134,2019-03-01T09:22:14Z,VLG2XN,"41.287319,2.079209",0,30,154
1551432156,2019-03-01T09:22:36Z,VLG2XN,"41.286907,2.079468",0,2,154
1551432215,2019-03-01T09:23:35Z,VLG2XN,"41.286655,2.079615",0,20,154
1551432226,2019-03-01T09:23:46Z,VLG2XN,"41.286247,2.080005",0,25,118
1551432232,2019-03-01T09:23:52Z,VLG2XN,"41.286243,2.080338",0,25,73
1551432248,2019-03-01T09:24:08Z,VLG2XN,"41.286598,2.081379",0,16,64
1551432256,2019-03-01T09:24:16Z,VLG2XN,"41.28693,2.082352",0,20,64
1551432266,2019-03-01T09:24:26Z,VLG2XN,"41.287273,2.08336",0,24,64
1551432278,2019-03-01T09:24:38Z,VLG2XN,"41.287926,2.085202",0,27,64
1551432284,2019-03-01T09:24:44Z,VLG2XN,"41.288147,2.085904",0,26,64
1551432295,2019-03-01T09:24:55Z,VLG2XN,"41.288761,2.087683",0,26,64
1551432303,2019-03-01T09:25:03Z,VLG2XN,"41.289078,2.088588",0,26,64
1551432314,2019-03-01T09:25:14Z,VLG2XN,"41.289642,2.090118",0,25,64
1551432327,2019-03-01T09:25:27Z,VLG2XN,"41.290184,2.091881",0,22,64
